Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage,Basic_characteristics
"Alquiler de Piso en Placeta d'Anna Murìa, 1",1790.0,"El Raval, Barcelona",Profesional,2.0,68.0,exterior,3.0,1.0,Garage optional,"68 m² construidos, 58 m² útiles
2 habitaciones
1 baño
Plaza de garaje por 120 €/mes adicionales
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada"
Alquiler de Ático en calle de la Fusina,2400.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,2.0,139.0,exterior,5.0,0.0,,"139 m² construidos, 128 m² útiles
2 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur, este
Construido en 1800
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en plaza de la Gardunya,1800.0,"El Raval, Barcelona",Profesional,2.0,60.0,exterior,5.0,1.0,Garage included,"60 m² construidos
2 habitaciones
1 baño
Terraza y balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Construido en 2019
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en calle de la Volta d'en Bufanalla,1286.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,3.0,63.0,exterior,3.0,0.0,,"63 m² construidos
3 habitaciones
1 baño
Segunda mano/buen estado
Construido en 1850
Cocina equipada y casa sin amueblar
No dispone de calefacción"
"Alquiler de Ático en Placeta d`Anna Muria, 1",2145.0,"El Raval, Barcelona",Profesional,2.0,76.0,exterior,5.0,1.0,Garage optional,"76 m² construidos, 61 m² útiles
2 habitaciones
1 baño
Terraza
Plaza de garaje por 120 €/mes adicionales
Segunda mano/buen estado
Armarios empotrados
Orientación oeste
Construido en 2023
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en calle de n'Aroles,1245.0,"El Gòtic, Barcelona",Profesional,1.0,34.0,exterior,2.0,0.0,,"34 m² construidos, 32 m² útiles
1 habitación
1 baño
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
No dispone de calefacción"
Alquiler de Piso en El Gòtic,1700.0,"Ciutat Vella, Barcelona",Profesional,2.0,80.0,exterior,2.0,0.0,,"80 m² construidos
2 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Orientación este, oeste
Amueblado y cocina equipada
No dispone de calefacción"
Alquiler de Piso en El Gòtic,2325.0,"Ciutat Vella, Barcelona",Profesional,3.0,140.0,exterior,1.0,1.0,,"140 m² construidos
3 habitaciones
2 baños
Segunda mano/buen estado
Construido en 1921
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en Sant Pere - Santa Caterina i la Ribera,2950.0,"Ciutat Vella, Barcelona",Profesional,2.0,115.0,exterior,1.0,1.0,,"115 m² construidos
2 habitaciones
2 baños
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
No dispone de calefacción"
Alquiler de Piso en calle de l'Arc del Teatre,1495.0,"El Raval, Barcelona",Profesional,2.0,70.0,exterior,1.0,0.0,,"70 m² construidos, 66 m² útiles
2 habitaciones
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
No dispone de calefacción"
Alquiler de Piso en La Barceloneta,1300.0,"Ciutat Vella, Barcelona",Profesional,1.0,30.0,exterior,4.0,0.0,,"30 m² construidos
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Amueblado y cocina equipada
No dispone de calefacción"
"Alquiler de Piso en calle de Joaquín Costa, 20",1080.0,"El Raval, Barcelona",Particular,1.0,20.0,exterior,Entreplanta,0.0,,"20 m² construidos
1 habitación
1 baño
Segunda mano/buen estado
Amueblado y cocina equipada"
Alquiler de Piso en Sant Pere - Santa Caterina i la Ribera,1750.0,"Ciutat Vella, Barcelona",Profesional,3.0,90.0,exterior,2.0,0.0,,"90 m² construidos
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
No dispone de calefacción"
Alquiler de Piso en calle de Sant Miquel,920.0,"La Barceloneta, Barcelona",Profesional,1.0,50.0,exterior,4.0,0.0,,"50 m² construidos, 45 m² útiles
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en Sant Pere - Santa Caterina i la Ribera,1600.0,"Ciutat Vella, Barcelona",Profesional,3.0,90.0,exterior,2.0,0.0,,"90 m² construidos
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
No dispone de calefacción"
"Alquiler de Piso en plaza Reial, 14",1045.0,"El Gòtic, Barcelona",Particular,1.0,60.0,exterior,1.0,1.0,,"60 m² construidos, 57 m² útiles
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Orientación este, oeste
Cocina equipada y casa sin amueblar"
Alquiler de Piso en La Barceloneta,1300.0,"Ciutat Vella, Barcelona",Profesional,1.0,30.0,exterior,4.0,0.0,,"30 m² construidos
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Amueblado y cocina equipada
No dispone de calefacción"
Alquiler de Ático en calle de l'Espaseria,2600.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,1.0,99.0,exterior,5.0,1.0,,"99 m² construidos
1 habitación
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Orientación sur, oeste
Amueblado y cocina equipada"
Alquiler de Piso en calle Sant Miquel,1300.0,"La Barceloneta, Barcelona",Profesional,1.0,45.0,exterior,4.0,1.0,,"45 m² construidos, 38 m² útiles
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual"
"Alquiler de Piso en Baixada de Caçador, 6",1000.0,"El Gòtic, Barcelona",Particular,1.0,60.0,exterior,Entreplanta,0.0,,"60 m² construidos, 58 m² útiles
1 habitación
1 baño
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en El Raval,3050.0,"Ciutat Vella, Barcelona",Profesional,2.0,81.0,exterior,3.0,1.0,,"81 m² construidos
2 habitaciones
2 baños
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción individual: Gas natural"
"Alquiler de Piso en calle de Sant Llàtzer, 6",1050.0,"El Raval, Barcelona",Profesional,1.0,50.0,exterior,Entreplanta,0.0,,"50 m² construidos, 49 m² útiles
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en Barra De Ferro,3500.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,3.0,153.0,interior,Entreplanta,0.0,,"153 m² construidos
3 habitaciones
3 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada"
"Alquiler de Piso en calle de los Assaonadors, 29",1116.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Particular,1.0,62.0,exterior,1.0,0.0,,"62 m² construidos, 60 m² útiles
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación este
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle de Francesc Pujols,2300.0,"El Gòtic, Barcelona",Profesional,2.0,100.0,exterior,3.0,1.0,,"100 m² construidos
2 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Construido en 1950
Amueblado y cocina equipada
Calefacción central"
Alquiler de Piso en calle del Tigre,1200.0,"El Raval, Barcelona",Profesional,3.0,65.0,exterior,Entreplanta,1.0,,"65 m² construidos
3 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en paseo de Colom,5000.0,"El Gòtic, Barcelona",Profesional,4.0,140.0,exterior,4.0,0.0,,"140 m² construidos
4 habitaciones
4 baños
Terraza
Segunda mano/buen estado
Amueblado y cocina equipada
No dispone de calefacción"
"Alquiler de Piso en calle d'en Copons, 2",3900.0,"El Gòtic, Barcelona",Carmina,3.0,115.0,exterior,1.0,1.0,Garage included,"115 m² construidos
3 habitaciones
2 baños
Terraza
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Orientación oeste
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en calle de la Mercè,2690.0,"El Gòtic, Barcelona",Profesional,3.0,85.0,exterior,1.0,1.0,,"85 m² construidos
3 habitaciones
2 baños
Balcón
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en Assaonadors,1300.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,3.0,68.0,exterior,1.0,0.0,,"68 m² construidos, 63 m² útiles
3 habitaciones
1 baño
Terraza y balcón
Segunda mano/buen estado
Orientación sur
Construido en 1800
Amueblado y cocina equipada
No dispone de calefacción"
Alquiler de Piso en Sant Pere - Santa Caterina i la Ribera,2200.0,"Ciutat Vella, Barcelona",Profesional,2.0,90.0,exterior,1.0,1.0,,"90 m² construidos
2 habitaciones
2 baños
Segunda mano/buen estado
Amueblado y cocina equipada
Calefacción individual"
Alquiler de Piso en calle de Sant Rafael,1000.0,"El Raval, Barcelona",Profesional,2.0,60.0,interior,2.0,0.0,,"60 m² construidos
2 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Orientación oeste
Cocina sin equipar y casa sin amueblar
No dispone de calefacción"
Alquiler de Piso en El Raval,1995.0,"Ciutat Vella, Barcelona",Profesional,2.0,56.0,exterior,3.0,0.0,,"56 m² construidos
2 habitaciones
1 baño
Segunda mano/buen estado
Cocina sin equipar y casa sin amueblar
No dispone de calefacción"
"Alquiler de Piso en calle de la Sal, 21",1860.0,"La Barceloneta, Barcelona",Profesional,1.0,33.0,,,0.0,,"33 m² construidos
1 habitación
1 baño
Segunda mano/buen estado
Amueblado y cocina equipada"
Alquiler de Piso en plaza de la Gardunya,1800.0,"El Raval, Barcelona",Profesional,2.0,57.0,exterior,3.0,1.0,Garage included,"57 m² construidos
2 habitaciones
1 baño
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Construido en 2019
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
Alquiler de Piso en calle de Sant Pere Més Baix s/n,3750.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,1.0,50.0,,,0.0,,"50 m² construidos
1 habitación
1 baño
Segunda mano/buen estado
Orientación sur
Construido en 1990
Amueblado y cocina equipada
Calefacción individual: Gas natural"
"Alquiler de Piso en calle Gíriti, 5",1975.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,2.0,84.0,exterior,3.0,1.0,,"84 m² construidos, 72 m² útiles
2 habitaciones
2 baños
Segunda mano/buen estado
Orientación sur
Construido en 1890
Amueblado y cocina equipada"
Alquiler de Piso en calle de Salamanca,1600.0,"La Barceloneta, Barcelona",Profesional,2.0,40.0,exterior,,0.0,,"40 m² construidos
2 habitaciones
1 baño
Segunda mano/buen estado
Amueblado y cocina equipada
No dispone de calefacción"
Alquiler de Piso en Barra De Ferro,3100.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,2.0,153.0,exterior,Entreplanta,0.0,,"153 m² construidos
2 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Amueblado y cocina equipada"
"Alquiler de Estudio en calle de Torres i Amat, 1",1500.0,"El Raval, Barcelona",Profesional,,35.0,,,0.0,,"35 m² construidos
Sin habitación
1 baño
Segunda mano/buen estado
Orientación sur
Construido en 1990
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle del Rec Comtal,2220.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,1.0,45.0,exterior,4.0,1.0,,"45 m² construidos
1 habitación
1 baño
Terraza y balcón
Segunda mano/buen estado
Construido en 1900
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
"Alquiler de Piso en calle del Mar, 1",2900.0,"La Barceloneta, Barcelona",Profesional,2.0,55.0,,,0.0,,"55 m² construidos
2 habitaciones
1 baño
Segunda mano/buen estado
Orientación sur
Construido en 1990
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle de Josep Anselm Clavé,2050.0,"El Gòtic, Barcelona",Profesional,2.0,85.0,exterior,2.0,1.0,Garage included,"85 m² construidos, 75 m² útiles
2 habitaciones
2 baños
Balcón
Plaza de garaje incluida en el precio
Segunda mano/buen estado
Armarios empotrados
Trastero
Orientación sur, este
Construido en 2017
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Dúplex en calle Antic de Sant Joan,4500.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,3.0,255.0,exterior,4.0,1.0,,"255 m² construidos
3 habitaciones
3 baños
Terraza y balcón
Segunda mano/buen estado
Cocina equipada y casa sin amueblar"
Alquiler de Piso en calle de l'Hospital,1300.0,"El Raval, Barcelona",Profesional,1.0,45.0,exterior,Entreplanta,1.0,,"45 m² construidos
1 habitación
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte, oeste
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
Alquiler de Piso en Passatge Sert,7500.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,2.0,293.0,exterior,4.0,1.0,,"293 m² construidos
2 habitaciones
2 baños
Terraza
Segunda mano/buen estado
Armarios empotrados
Construido en 1890
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle dels Escudellers,1590.0,"El Gòtic, Barcelona",Profesional,2.0,65.0,exterior,1.0,1.0,,"65 m² construidos, 61 m² útiles
2 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación norte, este
Construido en 1900
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
"Alquiler de Piso en calle del Portal Nou, 7",1500.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,3.0,70.0,,,0.0,,"70 m² construidos
3 habitaciones
1 baño
Segunda mano/buen estado
Orientación sur
Construido en 1990
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle de la Carabassa,2200.0,"El Gòtic, Barcelona",Profesional,2.0,120.0,exterior,Bajo,0.0,,"120 m² construidos, 90 m² útiles
2 habitaciones
2 baños
Segunda mano/buen estado
Armarios empotrados
Orientación norte, sur
Construido en 2018
Amueblado y cocina equipada
Calefacción individual: Eléctrica"
"Alquiler de Estudio en calle del Portal Nou, 7",1200.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,,30.0,,,0.0,,"30 m² construidos
Sin habitación
1 baño
Segunda mano/buen estado
Orientación sur
Construido en 1990
Amueblado y cocina equipada
Calefacción individual: Gas natural"
Alquiler de Piso en calle d'en Xuclà,1400.0,"El Raval, Barcelona",Profesional,2.0,56.0,exterior,5.0,1.0,,"56 m² construidos
2 habitaciones
1 baño
Terraza
Segunda mano/buen estado
Armarios empotrados
Orientación norte, sur
Construido en 1883
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
"Alquiler de Piso en rambla La, 123",1736.0,"El Raval, Barcelona",Profesional,1.0,47.0,,,0.0,,"47 m² construidos
1 habitación
1 baño
Segunda mano/buen estado
Amueblado y cocina equipada"
Alquiler de Piso en calle de la Maquinista,1700.0,"La Barceloneta, Barcelona",Profesional,2.0,79.0,exterior,1.0,0.0,,"79 m² construidos, 70 m² útiles
2 habitaciones
1 baño
Balcón
Segunda mano/buen estado
Armarios empotrados
Orientación oeste
Construido en 1959
Amueblado y cocina equipada
Calefacción individual: Bomba de frío/calor"
"Alquiler de Estudio en calle del Portal Nou, 7",1100.0,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Profesional,,25.0,,,0.0,,"25 m² construidos
Sin habitación
1 baño
Segunda mano/buen estado
Orientación sur
Construido en 1990
Amueblado y cocina equipada
Calefacción individual: Gas natural"
